Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	03	01	05	708.36633549	03	1	30	5	2	2	2	11		100	1	0	200601100057	20060110005701	711.331926579793
10	04	01	05	708.36633549	03	2	22	5	1	2	2	02		305	3	5	200601100057	20060110005701	711.331926579793
10	05	01	05	708.36633549	03	2	19	5	1	2	2	02		305	3	5	200601100057	20060110005701	711.331926579793
10	06	01	05	708.36633549	09	1	22	5	1	2	2	02		305	3	5	200601100057	20060110005701	711.331926579793
10	01	01	05	975.44361416	01	2	62	3	1	2	2	11		305	3	5	200601100058	20060110005801	976.311485437367
10	02	01	05	975.44361416	03	1	28	5	1	2	2	02		305	3	5	200601100058	20060110005801	976.311485437367
10	03	01	05	975.44361416	03	1	25	5	1	2	2	02		408	4	8	200601100058	20060110005801	976.311485437367
10	01	01	05	513.0408881	01	2	38	5	1	2	2	02		305	3	5	200601100059	20060110005901	515.779083525388
10	02	01	05	513.0408881	03	2	20	5	1	1			1	500	5	0	200601100059	20060110005901	515.779083525388
10	03	01	05	513.0408881	03	2	17	5	1	1			1	409	4	9	200601100059	20060110005901	515.779083525388
10	04	01	05	513.0408881	03	1	15	5	1	2	2	06		302	3	2	200601100059	20060110005901	515.779083525388
10	05	01	05	513.0408881	03	2	13	5	1	1			1	400	4	0	200601100059	20060110005901	515.779083525388
10	01	01	05	779.76138315	01	1	40	2	1	2	2	01		611	6	11	200601100060	20060110006001	777.733960412331
10	02	01	05	779.76138315	02	2	36	2	1	2	2	07		611	6	11	200601100060	20060110006001	777.733960412331
10	03	01	05	779.76138315	03	2	6	5	2	1			1	300	3	0	200601100060	20060110006001	777.733960412331
10	04	01	05	779.76138315	03	2	3	5									200601100060	20060110006001	777.733960412331
10	01	01	05	615.56491943	01	1	24	1	1	2	2	01		305	3	5	200601100061	20060110006101	616.004504529027
